,Date,Net_month_art
0,2007-01-31,0.0
1,2007-02-28,0.0
2,2007-03-31,0.0
3,2007-04-30,0.0
4,2007-05-31,0.0
5,2007-06-30,0.0
6,2007-07-31,0.0
7,2007-08-31,0.0
8,2007-09-30,0.0
9,2007-10-31,0.0
10,2007-11-30,0.0
11,2007-12-31,0.0
12,2008-01-31,0.0
13,2008-02-29,0.0
14,2008-03-31,0.0
15,2008-04-30,0.0
16,2008-05-31,0.0
17,2008-06-30,0.0
18,2008-07-31,0.0
19,2008-08-31,0.0
20,2008-09-30,0.0
21,2008-10-31,0.0
22,2008-11-30,0.0
23,2008-12-31,0.0
24,2009-01-31,0.0
25,2009-02-28,0.0
26,2009-03-31,0.0
27,2009-04-30,0.0
28,2009-05-31,0.0
29,2009-06-30,0.0
30,2009-07-31,0.0
31,2009-08-31,0.0
32,2009-09-30,0.0
33,2009-10-31,0.0
34,2009-11-30,0.0
35,2009-12-31,0.0
36,2010-01-31,0.0
37,2010-02-28,0.0
38,2010-03-31,0.0
39,2010-04-30,0.0
40,2010-05-31,0.0
41,2010-06-30,0.0
42,2010-07-31,0.0
43,2010-08-31,0.0
44,2010-09-30,0.0
45,2010-10-31,0.0
46,2010-11-30,0.0
47,2010-12-31,0.0
48,2011-01-31,0.0
49,2011-02-28,0.0
50,2011-03-31,0.0
51,2011-04-30,0.0
52,2011-05-31,0.0
53,2011-06-30,0.0
54,2011-07-31,0.0
55,2011-08-31,0.0
56,2011-09-30,0.0
57,2011-10-31,0.0
58,2011-11-30,0.0
59,2011-12-31,0.0
60,2012-01-31,0.0
61,2012-02-29,0.0
62,2012-03-31,0.0
63,2012-04-30,0.0
64,2012-05-31,0.0
65,2012-06-30,0.0
66,2012-07-31,0.0
67,2012-08-31,0.0
68,2012-09-30,0.0
69,2012-10-31,0.0
70,2012-11-30,0.0
71,2012-12-31,0.0
72,2013-01-31,0.0
73,2013-02-28,0.0
74,2013-03-31,0.0
75,2013-04-30,0.0
76,2013-05-31,0.0
77,2013-06-30,0.0
78,2013-07-31,0.0
79,2013-08-31,0.0
80,2013-09-30,0.0
81,2013-10-31,0.0
82,2013-11-30,0.0
83,2013-12-31,0.0
84,2014-01-31,0.0
85,2014-02-28,0.0
86,2014-03-31,0.0
87,2014-04-30,0.0
88,2014-05-31,0.0
89,2014-06-30,0.0
90,2014-07-31,0.0
91,2014-08-31,0.0
92,2014-09-30,0.0
93,2014-10-31,0.0
94,2014-11-30,0.0
95,2014-12-31,0.0
96,2015-01-31,0.0
97,2015-02-28,0.0
98,2015-03-31,0.0
99,2015-04-30,0.0
100,2015-05-31,0.0
101,2015-06-30,0.0
102,2015-07-31,0.0
103,2015-08-31,0.0
104,2015-09-30,0.0
105,2015-10-31,0.0
106,2015-11-30,0.0
107,2015-12-31,0.0
108,2016-01-31,0.0
109,2016-02-29,0.0
110,2016-03-31,0.0
111,2016-04-30,0.0
112,2016-05-31,0.0
113,2016-06-30,0.0
114,2016-07-31,0.0
115,2016-08-31,0.0
116,2016-09-30,0.0
117,2016-10-31,0.0
118,2016-11-30,0.0
119,2016-12-31,0.0
120,2017-01-31,0.0
121,2017-02-28,0.0
122,2017-03-31,0.0
123,2017-04-30,0.0
124,2017-05-31,0.0
125,2017-06-30,0.0
126,2017-07-31,0.0
127,2017-08-31,0.0
128,2017-09-30,0.0
129,2017-10-31,0.0
130,2017-11-30,2.0
131,2017-12-31,1.0
132,2018-01-31,2.0
133,2018-02-28,2.0
134,2018-03-31,5.0
135,2018-04-30,3.0
136,2018-05-31,0.0
137,2018-06-30,0.0
138,2018-07-31,0.0
139,2018-08-31,0.0
140,2018-09-30,0.0
141,2018-10-31,0.0
142,2018-11-30,0.0
143,2018-12-31,0.0
144,2019-01-31,0.0
145,2019-02-28,0.0
146,2019-03-31,0.0
147,2019-04-30,0.0
148,2019-05-31,0.0
149,2019-06-30,2.0
150,2019-07-31,5.0
151,2019-08-31,6.0
152,2019-09-30,6.0
153,2019-10-31,9.0
154,2019-11-30,17.0
155,2019-12-31,18.0
156,2020-01-31,27.0
157,2020-02-29,38.0
158,2020-03-31,63.0
159,2020-04-30,69.0
160,2020-05-31,87.0
161,2020-06-30,100.0
162,2020-07-31,100.0
163,2020-08-31,107.0
164,2020-09-30,99.0
165,2020-10-31,146.0
166,2020-11-30,187.0
167,2020-12-31,215.0
168,2021-01-31,379.0
169,2021-02-28,451.0
170,2021-03-31,563.0
171,2021-04-30,581.0
172,2021-05-31,638.0
173,2021-06-30,695.0
174,2021-07-31,736.0
175,2021-08-31,657.0
176,2021-09-30,717.0
177,2021-10-31,708.0
178,2021-11-30,594.0
179,2021-12-31,600.0
