,Ing_Order,Ing_Datum,Ing_Aantal
2112581,462850,05-07-2019,2.0
2113177,462850,09-07-2019,2.0
2113178,462850,09-07-2019,1.0
2699478,497668,10-11-2020,4.0
2623792,493586,21-09-2020,14.0
2146796,464924,16-08-2019,1.0
2146802,464924,16-08-2019,3.0
2146803,464924,16-08-2019,1.0
2146805,464924,16-08-2019,2.0
2146806,464924,16-08-2019,2.0
2146808,464924,16-08-2019,2.0
2515826,487454,23-06-2020,2.0
1837853,444451,11-10-2018,5.0
1926309,450597,17-01-2019,2.0
1926319,450597,17-01-2019,2.0
1926327,450597,17-01-2019,1.0
1926283,450597,16-01-2019,2.0
1683400,434232,08-05-2018,2.0
1500665,419902,26-09-2017,1.0
1543022,424009,25-11-2017,1.0
1543030,424009,25-11-2017,1.0
1543044,424009,25-11-2017,1.0
1481944,419917,08-09-2017,2.0
2182340,467027,23-09-2019,2.0
2736265,499803,07-12-2020,6.0
2907165,510043,07-05-2021,4.0
2870422,508010,20-04-2021,2.0
2768569,501871,15-01-2021,2.0
2768693,501871,25-01-2021,12.0
2768711,501871,25-01-2021,2.0
2455497,481403,07-05-2020,2.0
2489007,481403,02-06-2020,1.0
2455799,481403,27-05-2020,4.0
2738144,499837,09-12-2020,4.0
2739987,499837,15-12-2020,29.0
2377939,479368,02-03-2020,2.0
2380313,479368,09-03-2020,1.0
2380316,479368,09-03-2020,2.0
2380333,479368,09-03-2020,4.0
2552259,489609,10-08-2020,8.0
1961758,452749,25-02-2019,8.0
2377999,479375,02-03-2020,1.0
2183314,467090,12-09-2019,2.0
2615821,491667,16-09-2020,2.0
2616860,491667,21-09-2020,4.0
2616872,491667,21-09-2020,2.0
2616881,491667,21-09-2020,1.0
2616903,491667,21-09-2020,2.0
1482910,419990,12-09-2017,2.0
1482922,419990,12-09-2017,3.0
1482924,419990,12-09-2017,5.0
2835305,506008,30-03-2021,1.0
2835348,506008,30-03-2021,2.0
1572939,426146,11-12-2017,1.0
2770815,501925,27-02-2021,3.0
2770820,501925,27-02-2021,5.0
2770833,501925,27-02-2021,2.0
2770834,501925,27-02-2021,1.0
2739323,499894,04-01-2021,2.0
2853034,506043,25-03-2021,4.0
1840344,444608,15-10-2018,4.0
1750452,438465,10-07-2018,5.0
1747011,438465,04-07-2018,4.0
2189449,467140,23-09-2019,6.0
2798639,504007,16-02-2021,2.0
2800393,504007,24-02-2021,1.0
2800419,504007,24-02-2021,2.0
2800427,504007,24-02-2021,1.0
2800668,504007,24-02-2021,5.0
2909813,510153,07-05-2021,2.0
2909825,510153,07-05-2021,2.0
2909826,510153,07-05-2021,3.0
2909835,510153,07-05-2021,2.0
2909165,510153,03-05-2021,2.0
1872167,446668,13-11-2018,1.0
1872171,446668,13-11-2018,1.0
1929132,450766,21-01-2019,1.0
1927852,450769,18-01-2019,1.0
1928287,450769,24-01-2019,2.0
1928289,450769,24-01-2019,2.0
1928327,450769,24-01-2019,2.0
2089211,461017,18-06-2019,4.0
2089216,461017,18-06-2019,7.0
1841205,444639,19-10-2018,19.0
1842431,444639,19-10-2018,4.0
1842433,444639,19-10-2018,2.0
2768973,501986,15-01-2021,2.0
2769157,501986,22-01-2021,1.0
2769161,501986,22-01-2021,3.0
1809547,442599,21-09-2018,1.0
1809571,442599,21-09-2018,1.0
2590948,491761,31-08-2020,2.0
2704382,497905,13-11-2020,6.0
